"Miejsce","Wykonawca","Piosenka","Rok","Zm.","Zmiana","Rok.not"
"1","Czesław Niemen","Dziwny jest ten świat","1967",0,"bez zmian",2009
"2","Perfect","Autobiografia","1982",0,"bez zmian",2009
"3","Dżem","List do M.","1991",9,"wzrost",2009
"4","Aya RL","Skóra","1984",35,"wzrost",2009
"5","Czesław Niemen","Sen o Warszawie","1966",16,"wzrost",2009
"6","Marek Grechuta","Dni, których nie znamy","1971",-1,"spadek",2009
"7","Kult","Arahja","1988",-4,"spadek",2009
"8","Obywatel G.C.","Nie pytaj o Polskę","1988",1,"wzrost",2009
"9","Republika","Biała flaga","1982",-5,"spadek",2009
"10","Dżem","Whisky","1985",3,"wzrost",2009
"1","Czesław Niemen","Dziwny jest ten świat","1967",0,"bez zmian",2010
"2","Perfect","Autobiografia","1982",0,"bez zmian",2010
"3","Republika","Biała flaga","1982",6,"wzrost",2010
"4","Dżem","List do M.","1991",-1,"spadek",2010
"5","Obywatel G.C.","Nie pytaj o Polskę","1988",3,"wzrost",2010
"6","Kult","Arahja","1988",1,"wzrost",2010
"7","Marek Grechuta","Dni, których nie znamy","1971",-1,"spadek",2010
"8","Aya RL","Skóra","1984",-4,"spadek",2010
"9","Kult","Polska","1992",9,"wzrost",2010
"10","Kult","Do Ani","1986",3,"wzrost",2010
"1","Republika","Biała flaga","1982",2,"wzrost",2011
"2","Kult","Arahja","1988",4,"wzrost",2011
"3","Czesław Niemen","Dziwny jest ten świat","1967",-2,"spadek",2011
"4","Obywatel G.C.","Nie pytaj o Polskę","1988",1,"wzrost",2011
"5","Perfect","Autobiografia","1982",-3,"spadek",2011
"6","Dżem","List do M.","1991",-2,"spadek",2011
"7","Sztywny Pal Azji","Wieża radości, wieża samotności","1987",10,"wzrost",2011
"8","Kult","Polska","1992",1,"wzrost",2011
"9","TSA","51","1982",4,"wzrost",2011
"10","Marek Grechuta","Dni, których nie znamy","1971",-3,"spadek",2011
"1","Republika","Biała flaga","1982",0,"bez zmian",2012
"2","Czesław Niemen","Dziwny jest ten świat","1967",1,"wzrost",2012
"3","Dżem","List do M.","1991",3,"wzrost",2012
"4","Sztywny Pal Azji","Wieża radości, wieża samotności","1987",3,"wzrost",2012
"5","Obywatel G.C.","Nie pytaj o Polskę","1988",-1,"spadek",2012
"6","Marek Grechuta","Dni, których nie znamy","1971",4,"wzrost",2012
"7","TSA","51","1982",2,"wzrost",2012
"8","Kult","Arahja","1988",-6,"spadek",2012
"9","Grzegorz Turnau","Bracka","1995",3,"wzrost",2012
"10","Perfect","Autobiografia","1982",-5,"spadek",2012
"1","Czesław Niemen","Dziwny jest ten świat","1967",1,"wzrost",2013
"2","Republika","Biała flaga","1982",-1,"spadek",2013
"3","Dżem","List do M.","1991",0,"bez zmian",2013
"4","Obywatel G.C.","Nie pytaj o Polskę","1988",1,"wzrost",2013
"5","Perfect","Autobiografia","1982",5,"wzrost",2013
"6","Sztywny Pal Azji","Wieża radości, wieża samotności","1987",-2,"spadek",2013
"7","TSA","51","1982",0,"bez zmian",2013
"8","Kult","Arahja","1988",0,"bez zmian",2013
"9","Marek Grechuta","Dni, których nie znamy","1971",-3,"spadek",2013
"10","Turbo","Dorosłe dzieci","1982",5,"wzrost",2013
"1","Sztywny Pal Azji","Wieża radości, wieża samotności","1987",5,"wzrost",2014
"2","Obywatel G.C.","Nie pytaj o Polskę","1988",2,"wzrost",2014
"3","Perfect","Autobiografia","1982",2,"wzrost",2014
"4","Republika","Biała flaga","1982",-2,"spadek",2014
"5","TSA","51","1982",2,"wzrost",2014
"6","Dżem","List do M.","1991",-3,"spadek",2014
"7","Czesław Niemen","Dziwny jest ten świat","1967",-6,"spadek",2014
"8","Kult","Arahja","1988",0,"bez zmian",2014
"9","Marek Grechuta","Dni, których nie znamy","1971",0,"bez zmian",2014
"10","Turbo","Dorosłe dzieci","1982",0,"bez zmian",2014
