"Miejsce","Wykonawca","Piosenka","Rok","Zm.","Zmiana","Rok.not","dekada"
1,"Czesław Niemen","Dziwny jest ten świat","1967",0,"bez zmian",2009,"60"
2,"Perfect","Autobiografia","1982",0,"bez zmian",2009,"80"
3,"Dżem","List do M.","1991",9,"wzrost",2009,"90"
4,"Aya RL","Skóra","1984",35,"wzrost",2009,"80"
5,"Czesław Niemen","Sen o Warszawie","1966",16,"wzrost",2009,"60"
6,"Marek Grechuta","Dni, których nie znamy","1971",-1,"spadek",2009,"70"
7,"Kult","Arahja","1988",-4,"spadek",2009,"80"
8,"Obywatel G.C.","Nie pytaj o Polskę","1988",1,"wzrost",2009,"80"
9,"Republika","Biała flaga","1982",-5,"spadek",2009,"80"
10,"Dżem","Whisky","1985",3,"wzrost",2009,"80"
1,"Czesław Niemen","Dziwny jest ten świat","1967",0,"bez zmian",2010,"60"
2,"Perfect","Autobiografia","1982",0,"bez zmian",2010,"80"
3,"Republika","Biała flaga","1982",6,"wzrost",2010,"80"
4,"Dżem","List do M.","1991",-1,"spadek",2010,"90"
5,"Obywatel G.C.","Nie pytaj o Polskę","1988",3,"wzrost",2010,"80"
6,"Kult","Arahja","1988",1,"wzrost",2010,"80"
7,"Marek Grechuta","Dni, których nie znamy","1971",-1,"spadek",2010,"70"
8,"Aya RL","Skóra","1984",-4,"spadek",2010,"80"
9,"Kult","Polska","1992",9,"wzrost",2010,"90"
10,"Kult","Do Ani","1986",3,"wzrost",2010,"80"
1,"Republika","Biała flaga","1982",2,"wzrost",2011,"80"
2,"Kult","Arahja","1988",4,"wzrost",2011,"80"
3,"Czesław Niemen","Dziwny jest ten świat","1967",-2,"spadek",2011,"60"
4,"Obywatel G.C.","Nie pytaj o Polskę","1988",1,"wzrost",2011,"80"
5,"Perfect","Autobiografia","1982",-3,"spadek",2011,"80"
6,"Dżem","List do M.","1991",-2,"spadek",2011,"90"
7,"Sztywny Pal Azji","Wieża radości, wieża samotności","1987",10,"wzrost",2011,"80"
8,"Kult","Polska","1992",1,"wzrost",2011,"90"
9,"TSA","51","1982",4,"wzrost",2011,"80"
10,"Marek Grechuta","Dni, których nie znamy","1971",-3,"spadek",2011,"70"
1,"Republika","Biała flaga","1982",0,"bez zmian",2012,"80"
2,"Czesław Niemen","Dziwny jest ten świat","1967",1,"wzrost",2012,"60"
3,"Dżem","List do M.","1991",3,"wzrost",2012,"90"
4,"Sztywny Pal Azji","Wieża radości, wieża samotności","1987",3,"wzrost",2012,"80"
5,"Obywatel G.C.","Nie pytaj o Polskę","1988",-1,"spadek",2012,"80"
6,"Marek Grechuta","Dni, których nie znamy","1971",4,"wzrost",2012,"70"
7,"TSA","51","1982",2,"wzrost",2012,"80"
8,"Kult","Arahja","1988",-6,"spadek",2012,"80"
9,"Grzegorz Turnau","Bracka","1995",3,"wzrost",2012,"90"
10,"Perfect","Autobiografia","1982",-5,"spadek",2012,"80"
1,"Czesław Niemen","Dziwny jest ten świat","1967",1,"wzrost",2013,"60"
2,"Republika","Biała flaga","1982",-1,"spadek",2013,"80"
3,"Dżem","List do M.","1991",0,"bez zmian",2013,"90"
4,"Obywatel G.C.","Nie pytaj o Polskę","1988",1,"wzrost",2013,"80"
5,"Perfect","Autobiografia","1982",5,"wzrost",2013,"80"
6,"Sztywny Pal Azji","Wieża radości, wieża samotności","1987",-2,"spadek",2013,"80"
7,"TSA","51","1982",0,"bez zmian",2013,"80"
8,"Kult","Arahja","1988",0,"bez zmian",2013,"80"
9,"Marek Grechuta","Dni, których nie znamy","1971",-3,"spadek",2013,"70"
10,"Turbo","Dorosłe dzieci","1982",5,"wzrost",2013,"80"
1,"Sztywny Pal Azji","Wieża radości, wieża samotności","1987",5,"wzrost",2014,"80"
2,"Obywatel G.C.","Nie pytaj o Polskę","1988",2,"wzrost",2014,"80"
3,"Perfect","Autobiografia","1982",2,"wzrost",2014,"80"
4,"Republika","Biała flaga","1982",-2,"spadek",2014,"80"
5,"TSA","51","1982",2,"wzrost",2014,"80"
6,"Dżem","List do M.","1991",-3,"spadek",2014,"90"
7,"Czesław Niemen","Dziwny jest ten świat","1967",-6,"spadek",2014,"60"
8,"Kult","Arahja","1988",0,"bez zmian",2014,"80"
9,"Marek Grechuta","Dni, których nie znamy","1971",0,"bez zmian",2014,"70"
10,"Turbo","Dorosłe dzieci","1982",0,"bez zmian",2014,"80"
